Feature,Optimal_Value,Min_Bound,Max_Bound
fiber_rank,6.0,1.0,8.0
fiber_tensile_modulus_GPa,294.0,230.0,370.0
fiber_tensile_strength_MPa,5880.0,3530.0,5880.0
fiber_volume_pct,57.99964186538197,50.0,65.0
pct_0_plies,100.0,0.0,100.0
pct_45_plies,0.0,0.0,100.0
pct_90_plies,0.0,0.0,100.0
layup_code_num,7.0,1.0,8.0
CNT_vol_frac_pct,0.4286871436092485,0.0,1.36
interlayer_vol_frac_pct,1.3513558934366308,0.0,8.0
manufacturing_code,1.0,1.0,5.0
manufacturing_pressure_psi,94.89508882096254,0.0,100.0
Tg_dry_C,157.98219454912174,110.0,220.0
Tg_wet_C,117.13292391886708,80.0,160.0
temperature_C,23.0,23.0,23.0
env_code,1.0,1.0,1.0
moisture_code,0.0,0.0,0.0
E_L_ROM_GPa,171.98895961893462,50.0,250.0
E_T_HT_GPa,16.850842849858168,4.0,30.0
orientation_efficiency,1.0,0.0,1.0
sigma_L_ROM_MPa,3439.779192378692,500.0,5000.0
thermal_knockdown,0.1455860267395422,0.1,0.5
effective_Vf_pct,57.99964186538197,49.0,65.0
mfg_quality_index,4.8707055141160644,0.0,5.0
anisotropy_proxy,10.206549378649166,1.0,50.0
cnt_il_synergy,0.48661803340493576,0.0,2.0
zero_ply_contribution,3439.779192378692,0.0,5000.0
composite_density_gcc,1.574797994446139,1.3,2.0
sigma_L_specific,2184.266937416613,200.0,3500.0
