strength_MPa,modulus_GPa
1784.042869276964,142.54055341607503
1227.2777217661235,148.45451423993808
1244.740725775559,148.2770350732714
1220.1914154877686,148.5837862499335
1781.3534277972606,142.55952642019415
1582.5388561481293,144.99792363917416
1592.0505250862427,142.98911054270488
1588.1105250862427,144.7084238305033
1582.5388561481293,144.99792363917416
1781.3534277972603,142.55952642019417
1220.8294805544867,148.56377296376021
1224.2121586749774,148.5557142963765
1772.1467031829554,142.8941193337754
1773.3414112652054,142.85097966298963
1773.3414112652054,142.85097966298963
1759.614412712404,142.9451623037951
1240.907408275067,148.3131656942121
1759.614412712404,142.9451623037951
1784.0928692769646,142.51638674940838
